t,kalman_gain
1586,0.06976862
1587,0.06381937
1588,0.0611008
1589,0.07046548
1590,0.1021866
1591,0.1346572
1592,0.1051923
1593,0.09055619
1594,0.07283192
1595,0.079275
1596,0.0667816
1597,0.06356505
1598,0.06069351
1599,0.07068484
1600,0.1043231
1601,0.1389418
1602,0.1046116
1603,0.09202712
1604,0.07328671
1605,0.07854816
1606,0.06526571
1607,0.06247355
1608,0.05965748
1609,0.07308045
1610,0.1083569
1611,0.1395876
1612,0.09537096
1613,0.08217755
1614,0.06834694
1615,0.07512911
1616,0.06543048
1617,0.0635515
1618,0.06084873
1619,0.07209764
1620,0.1034281
1621,0.1337267
1622,0.0897872
1623,0.07996806
1624,0.06904522
1625,0.07402997
1626,0.06325021
1627,0.06151853
1628,0.05888506
1629,0.07058742
1630,0.105513
1631,0.1269518
1632,0.09241445
1633,0.07848708
1634,0.0695359
1635,0.07650915
1636,0.06577791
1637,0.06310029
1638,0.0604974
1639,0.07329989
1640,0.1071552
1641,0.1247888
1642,0.0914907
1643,0.07796497
1644,0.07261706
1645,0.07985243
1646,0.06905249
1647,0.064986
1648,0.06201951
1649,0.07390276
1650,0.1097294
